4022 C	[0.780287,0.012287,0.075645]
4023 C	[0.781165,0.004949,0.102326]
4024 C	[0.769795,0.017966,0.09848]
4025 C	[0.745023,0.032903,0.119719]
4026 C	[0.675113,0.030474,0.108764]
4027 C	[0.535944,0.027007,0.0951]
4028 C	[0.515648,0.021746,0.081136]
4029 C	[0.862754,0.017065,0.058731]
4030 C	[0.868025,0.032623,0.050567]
4031 C	[0.866455,0.031534,0.031403]
4032 C	[0.876047,0.043378,0.030409]
4033 C	[0.84801,0.059287,0.044128]
4034 C	[0.718268,0.052614,0.062387]
4035 C	[0.713419,0.049046,0.061665]
148 C	[0.875889,0.031796,0.095034]
149 C	[0.859471,0.041567,0.107541]
150 C	[0.829276,0.059044,0.128578]
151 C	[0.748374,0.116006,0.153808]
152 C	[0.681324,0.10585,0.140701]
153 C	[0.613862,0.074003,0.119672]
154 C	[0.535953,0.058879,0.099047]
155 C	[0.87618,0.016799,0.072024]
156 C	[0.833346,0.034027,0.095603]
157 C	[0.772009,0.063802,0.116628]
158 C	[0.694954,0.110937,0.130373]
159 C	[0.616902,0.111725,0.1187]
160 C	[0.537363,0.078326,0.097022]
161 C	[0.397958,0.036971,0.056305]
1485 C	[0.830322,0.073205,0.122963]
1495 C	[0.780141,0.105902,0.154094]
1505 C	[0.721061,0.148331,0.161026]
Orange 021 C	[0.678307,0.171835,0.147896]
1525 C	[0.552549,0.117254,0.116313]
1535 C	[0.489079,0.081123,0.09551]
1545 C	[0.394128,0.048064,0.063762]
1555 C	[0.847508,0.065238,0.079077]
1565 C	[0.803366,0.09299,0.106018]
1575 C	[0.746786,0.128156,0.135775]
1585 C	[0.714343,0.14864,0.141152]
1595 C	[0.63553,0.120381,0.122583]
1605 C	[0.544009,0.083411,0.094657]
1615 C	[0.48076,0.071819,0.080243]
712 C	[0.8722,0.03898,0.076088]
713 C	[0.850337,0.04876,0.090563]
714 C	[0.809134,0.066731,0.114811]
715 C	[0.747301,0.088362,0.138915]
716 C	[0.694257,0.103113,0.143833]
717 C	[0.625754,0.113558,0.132198]
718 C	[0.568504,0.114836,0.117609]
